Iteration,delta_random,delta_stratified,delta_auc

T Size = 300, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
6,0.1173,0.0319,0.1317
6,0.0625,0.0387,0.1353
6,0.0438,0.0324,0.1446
6,0.0634,0.0248,0.1540
6,0.0624,0.0320,0.1559
6,0.0532,0.0236,0.1615
6,0.0535,0.0227,0.1622
6,0.0530,0.0142,0.1574
6,0.0587,0.0083,0.1697
6,0.0563,0.0090,0.1654
6,0.0558,0.0148,0.1672
6,0.0430,0.0090,0.1768
6,0.0426,0.0003,0.1786
6,0.0638,0.0070,0.1773
6,0.0636,0.0022,0.1720
6,0.0622,0.0002,0.1758
6,0.0617,0.0063,0.1696
6,0.0650,0.0019,0.1755
6,0.0645,0.0015,0.1713
6,0.0407,0.0081,0.1697
6,0.0403,0.0109,0.1623
6,0.0383,0.0113,0.1690
6,0.0378,0.0160,0.1708
6,0.0381,0.0163,0.1730
6,0.0338,0.0222,0.1772
6,0.0388,0.0215,0.1779
6,0.0383,0.0228,0.1786
6,0.0418,0.0153,0.1822
6,0.0459,0.0111,0.1839
6,0.0453,0.0057,0.1855
6,0.0447,0.0065,0.1775
6,0.0343,0.0119,0.1540
6,0.0343,0.0088,0.1506
6,0.0331,0.0128,0.1464
6,0.0325,0.0021,0.1409
6,0.0260,0.0024,0.1428
6,0.0274,0.0053,0.1388
6,0.0256,0.0019,0.1348
6,0.0244,0.0047,0.1362
6,0.0232,0.0018,0.1547
6,0.0250,0.0048,0.1479
6,0.0232,0.0103,0.1471
6,0.0227,0.0141,0.1459
6,0.0253,0.0192,0.1529
6,0.0247,0.0167,0.1484
6,0.0242,0.0191,0.1543
6,0.0055,0.0230,0.1822
6,0.0051,0.0130,0.1797
6,0.0104,0.0057,0.1757
6,0.0058,0.0103,0.1893
6,0.0053,0.0028,0.1885
6,0.0035,0.0051,0.1833
6,0.0036,0.0035,0.1790
6,0.0026,0.0075,0.1822
6,0.0062,0.0024,0.1840
6,0.0045,0.0079,0.1911
6,0.0041,0.0030,0.1860
6,0.0036,0.0024,0.1810
6,0.0084,0.0076,0.1804
6,0.0131,0.0124,0.1818
6,0.0165,0.0176,0.1620
6,0.0197,0.0227,0.1613
6,0.0228,0.0246,0.1606
6,0.0131,0.0198,0.1622
6,0.0184,0.0180,0.1637
6,0.0195,0.0180,0.1605
6,0.0185,0.0080,0.1620
6,0.0169,0.0098,0.1648
6,0.0153,0.0009,0.1647
6,0.0138,0.0012,0.1641
6,0.0017,0.0108,0.1667
6,0.0021,0.0189,0.1620
6,0.0035,0.0155,0.1576
6,0.0068,0.0198,0.1447
6,0.0086,0.0231,0.1442
6,0.0026,0.0261,0.1482
6,0.0003,0.0208,0.1476
6,0.0001,0.0258,0.1493
6,0.0005,0.0306,0.1488
6,0.0008,0.0350,0.1516
6,0.0012,0.0293,0.1544
6,0.0005,0.0242,0.1557
6,0.0009,0.0284,0.1567
6,0.0020,0.0356,0.1580
6,0.0007,0.0395,0.1545
6,0.0208,0.0373,0.1571
6,0.0065,0.0289,0.1385
6,0.0050,0.0310,0.1397
6,0.0055,0.0283,0.1414
6,0.0019,0.0233,0.1210
6,0.0022,0.0238,0.1169
6,0.0068,0.0253,0.1184
6,0.0391,0.0265,0.1328
6,0.0385,0.0269,0.1327
6,0.0376,0.0182,0.1538
6,0.0376,0.0149,0.1553
6,0.0379,0.0102,0.1529
6,0.0190,0.0095,0.1563
6,0.0056,0.0049,0.1523
6,0.0064,0.0127,0.1523
6,0.0033,0.0077,0.1531
6,0.0176,0.0135,0.1544
6,0.0182,0.0100,0.1529
6,0.0066,0.0033,0.1527
6,0.0127,0.0016,0.1539
6,0.0140,0.0006,0.1572
6,0.0153,0.0020,0.1542
6,0.0152,0.0036,0.1575
6,0.0157,0.0082,0.1607
6,0.0131,0.0005,0.1622
6,0.0133,0.0042,0.1545
6,0.0136,0.0012,0.1513
6,0.0138,0.0061,0.1524
6,0.0059,0.0032,0.1553
6,0.0062,0.0061,0.1584
6,0.0059,0.0026,0.1547
6,0.0065,0.0038,0.1533
6,0.0038,0.0003,0.1596
6,0.0005,0.0015,0.1586
6,0.0011,0.0037,0.1402
6,0.0296,0.0014,0.1409
6,0.0265,0.0003,0.1382
6,0.0098,0.0032,0.1439
6,0.0136,0.0050,0.1468
6,0.0142,0.0083,0.1433
6,0.0119,0.0015,0.1449
6,0.0023,0.0029,0.1404
6,0.0176,0.0023,0.1389
6,0.0204,0.0029,0.1427
6,0.0196,0.0093,0.1442
6,0.0207,0.0141,0.1469
6,0.0194,0.0097,0.1488
6,0.0192,0.0106,0.1418
6,0.0197,0.0122,0.1428
6,0.0163,0.0058,0.1422
6,0.0162,0.0093,0.1436
6,0.0161,0.0074,0.1438
6,0.0161,0.0055,0.1407
6,0.0204,0.0016,0.1427
6,0.0203,0.0040,0.1420
6,0.0201,0.0064,0.1251
6,0.0199,0.0003,0.1262
6,0.0203,0.0018,0.1272
7,0.0585,0.0056,0.1270
7,0.0553,0.0118,0.1234
7,0.0575,0.0111,0.1490
7,0.0474,0.0157,0.1443
7,0.0476,0.0150,0.1485
7,0.0367,0.0227,0.1489
7,0.0390,0.0308,0.1277
7,0.0359,0.0362,0.1208
7,0.0363,0.0472,0.1251
7,0.0333,0.0440,0.1273
7,0.0338,0.0319,0.1317
7,0.0308,0.0387,0.1353
7,0.0312,0.0324,0.1446
7,0.0392,0.0248,0.1540
7,0.0357,0.0320,0.1559
7,0.0351,0.0236,0.1615
7,0.0373,0.0227,0.1622
7,0.0395,0.0142,0.1574
7,0.0349,0.0083,0.1697
7,0.0371,0.0090,0.1654
7,0.0376,0.0148,0.1672
7,0.0381,0.0090,0.1768
7,0.0375,0.0003,0.1786
7,0.0369,0.0070,0.1773
7,0.0285,0.0022,0.1720
7,0.0291,0.0002,0.1758
7,0.0312,0.0063,0.1696
7,0.0211,0.0019,0.1755
7,0.0599,0.0015,0.1713
7,0.0589,0.0081,0.1697
7,0.0626,0.0109,0.1623
7,0.0584,0.0113,0.1690
7,0.0664,0.0160,0.1708
7,0.0685,0.0163,0.1730
7,0.0677,0.0222,0.1772
7,0.0700,0.0215,0.1779
7,0.0520,0.0228,0.1786
7,0.0521,0.0153,0.1822
7,0.0544,0.0111,0.1839
7,0.0533,0.0057,0.1855
7,0.0448,0.0065,0.1775
7,0.0501,0.0119,0.1540
7,0.0481,0.0088,0.1506
7,0.0426,0.0128,0.1464
7,0.0229,0.0021,0.1409
7,0.0254,0.0024,0.1428
7,0.0200,0.0053,0.1388
7,0.0231,0.0019,0.1348
7,0.0261,0.0047,0.1362
7,0.0226,0.0018,0.1547
7,0.0004,0.0048,0.1479
7,0.0023,0.0103,0.1471
7,0.0131,0.0141,0.1459
7,0.0256,0.0192,0.1529
7,0.0314,0.0167,0.1484
7,0.0339,0.0191,0.1543
7,0.0202,0.0230,0.1822
7,0.0165,0.0130,0.1797
7,0.0173,0.0057,0.1757
7,0.0178,0.0103,0.1893
7,0.0166,0.0028,0.1885
7,0.0150,0.0051,0.1833
7,0.0135,0.0035,0.1790
7,0.0120,0.0075,0.1822
7,0.0109,0.0024,0.1840
7,0.0182,0.0079,0.1911
7,0.0155,0.0030,0.1860
7,0.0143,0.0024,0.1810
7,0.0105,0.0076,0.1804
7,0.0094,0.0124,0.1818
7,0.0040,0.0176,0.1620
7,0.0046,0.0227,0.1613
7,0.0067,0.0246,0.1606
7,0.0074,0.0198,0.1622
7,0.0000,0.0180,0.1637
7,0.0002,0.0180,0.1605
7,0.0024,0.0080,0.1620
7,0.0022,0.0098,0.1648
7,0.0022,0.0009,0.1647
7,0.0047,0.0012,0.1641
7,0.0096,0.0108,0.1667
7,0.0145,0.0189,0.1620
7,0.0169,0.0155,0.1576
7,0.0216,0.0198,0.1447
7,0.0229,0.0231,0.1442
7,0.0202,0.0261,0.1482
7,0.0219,0.0208,0.1476
7,0.0243,0.0258,0.1493
7,0.0231,0.0306,0.1488
7,0.0429,0.0350,0.1516
7,0.0426,0.0293,0.1544
7,0.0609,0.0242,0.1557
7,0.0632,0.0284,0.1567
7,0.0606,0.0356,0.1580
7,0.0606,0.0395,0.1545
7,0.0616,0.0373,0.1571
7,0.0388,0.0289,0.1385
7,0.0403,0.0310,0.1397
7,0.0380,0.0283,0.1414
7,0.0525,0.0233,0.1210
7,0.0525,0.0238,0.1169
7,0.0540,0.0253,0.1184
7,0.0542,0.0265,0.1328
7,0.0583,0.0269,0.1327
7,0.0568,0.0182,0.1538
7,0.0589,0.0149,0.1553
7,0.0578,0.0102,0.1529
7,0.0539,0.0095,0.1563
7,0.0556,0.0049,0.1523
7,0.0532,0.0127,0.1523
7,0.0601,0.0077,0.1531
7,0.0595,0.0135,0.1544
7,0.0564,0.0100,0.1529
7,0.0558,0.0033,0.1527
7,0.0519,0.0016,0.1539
7,0.0691,0.0006,0.1572
7,0.0692,0.0020,0.1542
7,0.0694,0.0036,0.1575
7,0.0685,0.0082,0.1607
7,0.0585,0.0005,0.1622
7,0.0577,0.0042,0.1545
7,0.0576,0.0012,0.1513
7,0.0554,0.0061,0.1524
7,0.0574,0.0032,0.1553
7,0.0563,0.0061,0.1584
7,0.0569,0.0026,0.1547
7,0.0548,0.0038,0.1533
7,0.0518,0.0003,0.1596
7,0.0520,0.0015,0.1586
7,0.0512,0.0037,0.1402
7,0.0531,0.0014,0.1409
7,0.0545,0.0003,0.1382
7,0.0530,0.0032,0.1439
7,0.0546,0.0050,0.1468
7,0.0559,0.0083,0.1433
7,0.0579,0.0015,0.1449
7,0.0597,0.0029,0.1404
7,0.0615,0.0023,0.1389
7,0.0607,0.0029,0.1427
7,0.0566,0.0093,0.1442
7,0.0581,0.0141,0.1469
7,0.0603,0.0097,0.1488
7,0.0564,0.0106,0.1418
7,0.0565,0.0122,0.1428
7,0.0541,0.0058,0.1422
7,0.0337,0.0093,0.1436
7,0.0305,0.0074,0.1438
7,0.0452,0.0055,0.1407
7,0.0473,0.0016,0.1427
7,0.0455,0.0040,0.1420
7,0.0447,0.0064,0.1251
7,0.0444,0.0003,0.1262
7,0.0464,0.0018,0.1272
