Iteration,delta_random,delta_stratified,delta_auc

T Size = 300, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
2,0.0445,0.2807,0.0583
2,0.0456,0.2807,0.0569
2,0.0473,0.2807,0.0577
2,0.0480,0.2807,0.0562
2,0.0444,0.2807,0.0556
2,0.0405,0.2807,0.0541
2,0.0411,0.2752,0.0525
2,0.0406,0.2752,0.0533
2,0.0403,0.2752,0.0530
2,0.0389,0.2752,0.0517
2,0.0420,0.2752,0.0532
2,0.0451,0.2752,0.0539
2,0.0459,0.2765,0.0539
2,0.0471,0.2772,0.0511
2,0.0472,0.2772,0.0526
2,0.0341,0.2772,0.0531
2,0.0371,0.2737,0.0516
2,0.0388,0.2737,0.0478
2,0.0404,0.2737,0.0476
2,0.0282,0.2737,0.0485
2,0.0251,0.2737,0.0499
2,0.0244,0.2737,0.0488
2,0.0261,0.2737,0.0487
2,0.0293,0.2737,0.0485
2,0.0251,0.2532,0.0490
2,0.0244,0.2532,0.0455
2,0.0247,0.2532,0.0422
2,0.0349,0.2532,0.0429
2,0.0346,0.2532,0.0494
2,0.0340,0.2532,0.0501
2,0.0337,0.2532,0.0415
2,0.0379,0.2485,0.0417
2,0.0385,0.2485,0.0408
2,0.0388,0.2485,0.0313
2,0.0417,0.2485,0.0312
2,0.0447,0.2485,0.0319
2,0.0441,0.2485,0.0359
2,0.0668,0.2485,0.0364
2,0.0543,0.2485,0.0377
2,0.0556,0.2485,0.0184
2,0.0560,0.2500,0.0233
2,0.0577,0.2500,0.0229
2,0.0604,0.2515,0.0237

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.0650,0.3596,0.0961
1,0.0625,0.3419,0.1051
1,0.0665,0.3429,0.1125
1,0.0654,0.3429,0.1187
1,0.0603,0.3429,0.0994
1,0.0607,0.3429,0.0408
1,0.0667,0.3429,0.0353
1,0.0690,0.3429,0.0357
1,0.0706,0.3521,0.0656
1,0.0729,0.3521,0.0660
1,0.0744,0.3521,0.0804
1,0.0792,0.3369,0.0810
1,0.0814,0.3369,0.1280
1,0.0766,0.3369,0.1385
1,0.0909,0.3369,0.1427
1,0.0930,0.3369,0.1279
1,0.0920,0.3369,0.1267
1,0.0864,0.2215,0.0906
1,0.0756,0.2215,0.0600
1,0.0750,0.1748,0.0589
1,0.0706,0.1748,0.0258
1,0.0728,0.1748,0.0330
1,0.0384,0.1748,0.0448
1,0.0339,0.1708,0.0605
1,0.0392,0.1804,0.0723
1,0.0425,0.1804,0.0846
1,0.0391,0.1400,0.0908
1,0.0412,0.1400,0.0655
1,0.0435,0.1400,0.0713
1,0.0394,0.1400,0.0786
1,0.0415,0.1400,0.0507
1,0.0366,0.1400,0.0617
1,0.0386,0.1400,0.0396
1,0.0406,0.1400,0.0246
1,0.0420,0.1400,0.0269
1,0.0409,0.1400,0.0008
1,0.0406,0.1400,0.0029
1,0.0421,0.1548,0.0038
1,0.0431,0.1548,0.0144
1,0.0406,0.1599,0.0159
1,0.0390,0.1599,0.0245
1,0.0360,0.1599,0.0228
1,0.0340,0.1599,0.0242
1,0.0337,0.1599,0.0100
1,0.0352,0.1725,0.0100
1,0.0401,0.2058,0.0086
1,0.0363,0.2058,0.0073
1,0.0323,0.2058,0.0189
1,0.0354,0.2058,0.0177
1,0.0347,0.2058,0.0165
1,0.0301,0.2058,0.0143
1,0.0171,0.2058,0.0158
1,0.0190,0.2058,0.0186
1,0.0182,0.1683,0.0199
1,0.0174,0.1595,0.0212
1,0.0156,0.1446,0.0192
1,0.0146,0.1446,0.0168
1,0.0126,0.1446,0.0267
1,0.0145,0.1446,0.0222
1,0.0072,0.1305,0.0314
1,0.0056,0.1305,0.0248
1,0.0091,0.1305,0.0251
1,0.0085,0.1366,0.0233
1,0.0112,0.1051,0.0247
1,0.0116,0.1082,0.0271
1,0.0401,0.1082,0.0274
1,0.0399,0.1082,0.0286
1,0.0406,0.1082,0.0298
1,0.0396,0.1082,0.0383
1,0.0531,0.1082,0.0376
1,0.0512,0.1082,0.0369
1,0.0530,0.1082,0.0380
1,0.0517,0.1082,0.0373
1,0.0558,0.1082,0.0366
1,0.0591,0.1082,0.0499
1,0.0617,0.1082,0.0296
1,0.0604,0.1082,0.0424
1,0.0643,0.0850,0.0429
1,0.0613,0.0850,0.0378
1,0.0652,0.0850,0.0344
1,0.0623,0.0850,0.0296
1,0.0660,0.0850,0.0288
1,0.0647,0.0850,0.0288
1,0.0615,0.0850,0.0243
1,0.0578,0.0850,0.0200
1,0.0848,0.1106,0.0212
1,0.0846,0.1106,0.0191
1,0.0827,0.1106,0.0271
1,0.0856,0.1208,0.0266
1,0.0830,0.1208,0.0340
1,0.0822,0.1208,0.0240
1,0.0804,0.1208,0.0031
1,0.0792,0.1208,0.0346
1,0.0772,0.1208,0.0298
1,0.0757,0.1284,0.0185
1,0.0739,0.1284,0.0211
1,0.0749,0.1284,0.0217
1,0.0740,0.1284,0.0147
1,0.0744,0.1222,0.0082
1,0.0784,0.1388,0.0081
1,0.0756,0.1388,0.0087
1,0.0990,0.1463,0.0129
1,0.1023,0.1463,0.0116
1,0.1049,0.1463,0.0190
1,0.1075,0.1463,0.0085
1,0.1107,0.1463,0.0139
1,0.0888,0.1463,0.0050
1,0.0919,0.1463,0.0109
1,0.0989,0.1463,0.0061
1,0.1015,0.1463,0.0024
1,0.0927,0.1579,0.0029
1,0.0920,0.1612,0.0016
1,0.0918,0.1612,0.0010
1,0.0926,0.1612,0.0002
1,0.0909,0.1612,0.0008
